Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/TaskTO.java,0,2,0,79,101,101,79,39.5,2,768.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java,0,1,0,66,84,84,66,66.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/UserTO.java,0,2,0,162,215,214,162,81.0,2,777.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java,0,1,0,29,34,34,29,29.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java,0,1,0,37,46,46,37,37.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java,0,1,0,100,133,133,100,100.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java,0,2,0,118,153,152,118,59.0,2,777.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java,0,4,0,326,459,430,326,81.5,2,387.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java,0,1,0,53,63,63,53,53.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java,0,1,0,79,96,96,79,79.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java,0,1,0,77,93,93,77,77.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java,0,1,0,60,75,75,60,60.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java,0,1,0,25,29,29,25,25.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java,0,1,0,142,175,175,142,142.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/AttributableType.java,0,1,0,24,27,27,24,24.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/AuditElements.java,0,1,0,191,244,244,191,191.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/AuditLoggerName.java,0,2,0,79,104,101,79,39.5,1,762.5,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java,0,1,0,32,37,37,32,32.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java,0,1,0,29,31,31,29,29.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java,0,2,0,82,107,107,82,41.0,2,765.5,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/ConnConfProperty.java,0,1,0,53,66,66,53,53.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/ConnParameterType.java,0,1,0,33,37,37,33,33.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/ConnectorCapability.java,0,1,0,32,35,35,32,32.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/EntityViolationType.java,0,1,0,63,69,69,63,63.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/IntMappingType.java,0,2,0,151,178,175,151,75.5,2,762.5,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/PasswordPolicySpec.java,0,1,0,278,353,353,278,278.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/PolicyType.java,0,1,0,44,49,49,44,44.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/PropagationMode.java,0,1,0,23,26,26,23,23.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/PropagationOperation.java,0,1,0,24,26,26,24,24.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/PropagationTaskExecStatus.java,0,1,0,39,42,42,39,39.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/ReportExecExportFormat.java,0,1,0,25,28,28,25,25.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/ReportExecStatus.java,0,1,0,25,28,28,25,25.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/SchemaType.java,0,1,0,37,43,43,37,37.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/SyncPolicySpec.java,0,1,0,53,62,62,53,53.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/SyncopeClientExceptionType.java,0,1,0,87,99,99,87,87.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java,0,1,0,57,65,65,57,57.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java,0,1,0,30,35,35,30,30.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/TraceLevel.java,0,1,0,37,40,40,37,37.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/UserRequestType.java,0,1,0,24,27,27,24,24.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java,0,1,0,26,29,29,26,26.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/types/package-info.java,0,1,0,19,19,19,19,19.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/SyncopeApplication.java,0,3,0,146,214,194,150,50.0,2,518.3333333333334,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java,0,1,0,69,83,83,69,69.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/SyncopeSession.java,0,3,0,89,116,114,89,29.666666666666668,3,517.3333333333334,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/Constants.java,0,2,0,59,98,96,61,30.5,1,764.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java,0,1,0,42,50,50,42,42.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java,0,3,0,139,191,178,139,46.333333333333336,2,517.3333333333334,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java,0,1,0,36,43,43,36,36.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java,0,3,0,145,338,259,195,65.0,2,509.6666666666667,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java,0,1,0,88,111,111,88,88.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java,0,1,0,55,66,66,55,55.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java,0,1,0,85,113,113,85,85.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java,0,1,0,35,40,40,35,35.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/SelectOption.java,0,1,0,58,72,72,58,58.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java,0,1,0,53,66,66,53,53.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java,0,1,0,62,77,77,62,62.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/StatusBean.java,0,1,0,46,59,59,46,46.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/StatusUtils.java,0,2,0,148,186,185,148,74.0,2,762.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java,0,1,0,76,95,95,76,76.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java,0,1,0,89,102,102,89,89.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java,0,1,0,140,183,183,140,140.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java,0,2,0,99,123,121,99,49.5,2,774.5,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java,0,1,0,42,50,50,42,42.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java,0,1,0,174,211,211,174,174.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java,0,1,0,46,54,54,46,46.0,1,1524.0,false
